code,con,div,city,team,fran,league,1st,last
Cle,wa,a,Cleveland,Barons,Cle,NHL,1976-77,1977-78
Col,cc,s,Colorado,Rockies,NJ,NHL,1976-77,1981-82
Bir,,e,Birmingham,Bulls,Bir,WHA,1976-77,1976-77
Bir,,,Birmingham,Bulls,Bir,WHA,1977-78,1978-79
Min,,e,Minnesota,Fighting Saints,MnA,WHA,1976-77,1976-77
Cze,,,Czechoslovakia,,Cze,WHA,1977-78,1978-79
Sov,,,Soviet,All Stars,Sov,WHA,1977-78,1978-79
Fin,,,Finland,,Fin,WHA,1978-79,1978-79
Edm,cc,s,Edmonton,Oilers,Edm,NHL,1979-80,1992-93
Edm,w,pc,Edmonton,Oilers,Edm,NHL,1993-94,1997-98
Edm,w,nw,Edmonton,Oilers,Edm,NHL,1998-99,
Har,wa,n,Hartford,Whalers,Car,NHL,1979-80,1980-81
Har,wa,a,Hartford,Whalers,Car,NHL,1981-82,1992-93
Har,e,ne,Hartford,Whalers,Car,NHL,1993-94,1996-97
Que,wa,a,Quebec,Nordiques,Col,NHL,1979-80,1992-93
Que,e,ne,Quebec,Nordiques,Col,NHL,1993-94,1994-95
Win,cc,s,Winnipeg,Jets,Pho,NHL,1979-80,1980-81
Win,cc,n,Winnipeg,Jets,Pho,NHL,1981-82,1981-82
Win,cc,s,Winnipeg,Jets,Pho,NHL,1982-83,1992-93
Win,w,ce,Winnipeg,Jets,Pho,NHL,1993-94,1995-96
Cal,cc,p,Calgary,Flames,Cal,NHL,1980-81,1980-81
Cal,cc,s,Calgary,Flames,Cal,NHL,1981-82,1992-93
Cal,w,pc,Calgary,Flames,Cal,NHL,1993-94,1997-98
Cal,w,nw,Calgary,Flames,Cal,NHL,1998-99,
NJ,wa,p,New Jersey,Devils,NJ,NHL,1982-83,1992-93
NJ,e,at,New Jersey,Devils,NJ,NHL,1993-94,
SJ,cc,s,San Jose,Sharks,SJ,NHL,1991-92,1992-93
SJ,w,pc,San Jose,Sharks,SJ,NHL,1993-94,
Ott,wa,a,Ottawa,Senators,Ott,NHL,1992-93,1992-93
Ott,e,ne,Ottawa,Senators,Ott,NHL,1993-94,
