code,use,last,first,middle(s),last,suffix,nick,note,pos,hf,hi,wt,s/c,bm,bd,by,tob,sob,cob,dm,dd,dy,tod,sod,cod
andej003,Jonas,Andersson,,,,,,,R,6,2,202,L,2,24,1981,Stockholm,,Sweden,,,,,,
andej005,Joakim,Andersson,,,,,,,C,6,2,198,,2,5,1989,Munkedal,,Sweden,,,,,,
andek001,Kent-Erik,Andersson,Kent,Erik H.,Andersson,,Kenta/Stan,,R,6,2,185,R,5,24,1951,Orebro,,Sweden,,,,,,
andel001,Lorne,Anderson,Lorne,Robert,Anderson,,Andy/Lefty,,G,5,11,166,L,7,26,1931,Renfrew,ON,Canada,3,20,1984,Renfrew,ON,Canada
andem001,Mikael,Andersson,Bo,Mikael,Andersson,,,,L,5,11,181,L,5,10,1966,Malmo,,Sweden,,,,,,
andem002,Murray,Anderson,Murray,Craig,Anderson,,,,D,5,10,175,L,8,28,1949,The Pas,MB,Canada,,,,,,
anden001,Niklas,Andersson,Niklas,P.,Andersson,,,,L,5,9,180,L,5,20,1971,Kungalv,,Sweden,,,,,,
andep001,Perry,Anderson,Perry,Lynn,Anderson,,Wheels,,L,6,1,225,L,10,14,1961,Barrie,ON,Canada,,,,,,
andep002,Peter,Andersson,Peter,,Andersson,,,,D,6,2,200,R,3,2,1962,Federtalve,,Sweden,,,,,,
andep003,Peter,Andersson,Peter,,Andersson,,,,D,6,0,196,L,8,29,1965,Orebro,,Sweden,,,,,,
ander001,Ron,Anderson,Ronald,Chester,Anderson,,Goings,,R,6,0,170,R,7,29,1945,Red Deer,AB,Canada,,,,,,
ander002,Ron,Anderson,Ronald,Henry,Anderson,,,,R,5,10,165,R,1,21,1950,Moncton,NB,Canada,,,,,,
ander003,Ron F.,Anderson,Ronald,Frank,Anderson,,,,D,6,0,190,R,11,15,1948,Dryden,ON,Canada,,,,,,
ander004,Russ,Anderson,Russell,Vincent,Anderson,,The Enforcer,,D,6,3,210,L,2,12,1955,Minneapolis,MN,USA,,,,,,
andes001,Shawn,Anderson,Shawn,Stephen,Anderson,,,,D,6,1,200,L,2,7,1968,Montreal,QC,Canada,,,,,,
